 Tempo totale (Ma):   0.000000
  Elemento    Coordinata X    Coordinata Y         Hr       Cond.   Densità         Cp           alpha       Pressione  Pressione lito  Temperatura       Viscosità   Shear Heating     Ad. Heating
       107     550000.0000     262500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.29475E+09     0.40543E+11    1300.0000     0.10000E+23     0.35155E-05     0.38336E-05
       108     583333.3333     262500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.28427E+09     0.40553E+11    1300.0000     0.10000E+23     0.40382E-05     0.41624E-05
       109     616666.6667     262500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.27383E+09     0.40564E+11    1300.0000     0.10000E+23     0.45916E-05     0.44300E-05
       110     650000.0000     262500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.26374E+09     0.40574E+11    1300.0000     0.10000E+23     0.51309E-05     0.46473E-05
       111     683333.3333     262500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.25424E+09     0.40583E+11    1300.0000     0.10000E+23     0.56276E-05     0.48237E-05
       112     716666.6667     262500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.24551E+09     0.40592E+11    1300.0000     0.10000E+23     0.60687E-05     0.49667E-05
       113     750000.0000     262500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.23765E+09     0.40600E+11    1300.0000     0.10000E+23     0.64499E-05     0.50826E-05
       114     783333.3333     262500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.23072E+09     0.40607E+11    1300.0000     0.10000E+23     0.67723E-05     0.51760E-05
       115     816666.6667     262500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.22477E+09     0.40613E+11    1300.0000     0.10000E+23     0.70388E-05     0.52505E-05
       116     850000.0000     262500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.21980E+09     0.40618E+11    1300.0000     0.10000E+23     0.72533E-05     0.53089E-05
       117     883333.3333     262500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.21583E+09     0.40622E+11    1300.0000     0.10000E+23     0.74198E-05     0.53534E-05
       118     916666.6667     262500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.21285E+09     0.40625E+11    1300.0000     0.10000E+23     0.75415E-05     0.53855E-05
       119     950000.0000     262500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.21086E+09     0.40627E+11    1300.0000     0.10000E+23     0.76211E-05     0.54063E-05
       120     983333.3333     262500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.20987E+09     0.40628E+11    1300.0000     0.10000E+23     0.76605E-05     0.54165E-05
       121      16666.6666     337500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.40670E+09     0.36793E+11    1300.0000     0.10000E+21     0.14009E-06    -0.99059E-05
       122      50000.0000     337500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.40667E+09     0.36793E+11    1300.0000     0.10000E+21     0.13725E-06    -0.98100E-05
       123      83333.3334     337500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.40661E+09     0.36793E+11    1300.0000     0.10000E+21     0.13167E-06    -0.96171E-05
       124     116666.6666     337500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.40653E+09     0.36793E+11    1300.0000     0.10000E+21     0.12357E-06    -0.93243E-05
       125     150000.0000     337500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.40642E+09     0.36794E+11    1300.0000     0.10000E+21     0.11330E-06    -0.89279E-05
       126     183333.3334     337500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.40629E+09     0.36794E+11    1300.0000     0.10000E+21     0.10137E-06    -0.84223E-05
       127     216666.6666     337500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.40612E+09     0.36794E+11    1300.0000     0.10000E+21     0.88512E-07    -0.78006E-05
       128     250000.0000     337500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.40593E+09     0.36794E+11    1300.0000     0.10000E+21     0.75749E-07    -0.70542E-05
       129     283333.3333     337500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.40571E+09     0.36794E+11    1300.0000     0.10000E+21     0.64452E-07    -0.61727E-05
       130     316666.6666     337500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.40546E+09     0.36795E+11    1300.0000     0.10000E+21     0.56445E-07    -0.51438E-05
       131     350000.0000     337500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.40519E+09     0.36795E+11    1300.0000     0.10000E+21     0.54083E-07    -0.39532E-05
       132     383333.3333     337500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.40489E+09     0.36795E+11    1300.0000     0.10000E+21     0.60340E-07    -0.25843E-05
       133     416666.6667     337500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.40456E+09     0.36795E+11    1300.0000     0.10000E+21     0.78817E-07    -0.10186E-05
       134     450000.0000     337500.0000     0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.40421E+09     0.36796E+11    1300.0000     0.10000E+21     0.11394E-06     0.76457E-06
       135     483333.3333     337500.0000     0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.36598E+09     0.36834E+11    1300.0000     0.10000E+21     0.17086E-06     0.27881E-05
       136     516666.6666     337500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.28837E+09     0.38074E+11    1300.0000     0.10000E+23     0.23749E-05     0.42261E-05
       137     550000.0000     337500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.24544E+09     0.38117E+11    1300.0000     0.10000E+23     0.26410E-05     0.46745E-05
       138     583333.3333     337500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.23862E+09     0.38124E+11    1300.0000     0.10000E+23     0.29701E-05     0.50546E-05
       139     616666.6667     337500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.23167E+09     0.38131E+11    1300.0000     0.10000E+23     0.33311E-05     0.53749E-05
       140     650000.0000     337500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.22478E+09     0.38138E+11    1300.0000     0.10000E+23     0.37012E-05     0.56433E-05
       141     683333.3333     337500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.21813E+09     0.38144E+11    1300.0000     0.10000E+23     0.40608E-05     0.58671E-05
       142     716666.6667     337500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.21187E+09     0.38151E+11    1300.0000     0.10000E+23     0.43954E-05     0.60528E-05
       143     750000.0000     337500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.20611E+09     0.38156E+11    1300.0000     0.10000E+23     0.46962E-05     0.62059E-05
       144     783333.3333     337500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.20094E+09     0.38162E+11    1300.0000     0.10000E+23     0.49586E-05     0.63311E-05
       145     816666.6667     337500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.19643E+09     0.38166E+11    1300.0000     0.10000E+23     0.51810E-05     0.64322E-05
       146     850000.0000     337500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.19262E+09     0.38170E+11    1300.0000     0.10000E+23     0.53635E-05     0.65123E-05
