 Tempo totale (Ma):   0.000000
      Nodo              Coordinata X              Coordinata Y                Velocità X                Velocità Y               Temperatura
       168              400000.00000              375000.00000                 -15.61394                   4.97439                1300.00000
       169              433333.33330              375000.00000                 -15.69174                   0.39556                1300.00000
       170              466666.66670              375000.00000                 -15.46263                  -4.79401                1300.00000
       171              500000.00000              375000.00000                 -14.89969                 -10.65167                1300.00000
       172              533333.33330              375000.00000                 -14.14798                 -11.88124                1300.00000
       173              566666.66670              375000.00000                 -13.36416                 -12.94168                1300.00000
       174              600000.00000              375000.00000                 -12.54174                 -13.84941                1300.00000
       175              633333.33330              375000.00000                 -11.67725                 -14.62188                1300.00000
       176              666666.66670              375000.00000                 -10.77007                 -15.27526                1300.00000
       177              700000.00000              375000.00000                  -9.82110                 -15.82439                1300.00000
       178              733333.33330              375000.00000                  -8.83272                 -16.28273                1300.00000
       179              766666.66670              375000.00000                  -7.80833                 -16.66203                1300.00000
       180              800000.00000              375000.00000                  -6.75204                 -16.97230                1300.00000
       181              833333.33330              375000.00000                  -5.66831                 -17.22185                1300.00000
       182              866666.66670              375000.00000                  -4.56177                 -17.41742                1300.00000
       183              900000.00000              375000.00000                  -3.43708                 -17.56430                1300.00000
       184              933333.33330              375000.00000                  -2.29886                 -17.66647                1300.00000
       185              966666.66670              375000.00000                  -1.15167                 -17.72669                1300.00000
       186             1000000.00000              375000.00000                   0.00000                 -17.74658                1300.00000
       187                   0.00000              450000.00000                   0.00000                  31.02254                1300.00000
       188               33333.33330              450000.00000                  -1.47667                  30.86880                1300.00000
       189               66666.66670              450000.00000                  -2.93622                  30.40561                1300.00000
       190              100000.00000              450000.00000                  -4.36139                  29.62711                1300.00000
       191              133333.33330              450000.00000                  -5.73469                  28.52345                1300.00000
       192              166666.66670              450000.00000                  -7.03826                  27.08075                1300.00000
       193              200000.00000              450000.00000                  -8.25385                  25.28095                1300.00000
       194              233333.33330              450000.00000                  -9.36267                  23.10173                1300.00000
       195              266666.66670              450000.00000                 -10.34551                  20.51631                1300.00000
       196              300000.00000              450000.00000                 -11.18261                  17.49348                1300.00000
       197              333333.33330              450000.00000                 -11.85385                  13.99727                1300.00000
       198              366666.66670              450000.00000                 -12.33871                   9.98724                1300.00000
       199              400000.00000              450000.00000                 -12.61633                   5.41789                1300.00000
       200              433333.33330              450000.00000                 -12.66624                   0.23943                1300.00000
       201              466666.66670              450000.00000                 -12.46679                  -5.60214                1300.00000
       202              500000.00000              450000.00000                 -11.99716                 -12.16684                1300.00000
       203              533333.33330              450000.00000                 -11.37848                 -13.44945                1300.00000
       204              566666.66670              450000.00000                 -10.73809                 -14.57795                1300.00000
       205              600000.00000              450000.00000                 -10.07114                 -15.56421                1300.00000
       206              633333.33330              450000.00000                  -9.37435                 -16.41997                1300.00000
       207              666666.66670              450000.00000                  -8.64587                 -17.15737                1300.00000
       208              700000.00000              450000.00000                  -7.88562                 -17.78803                1300.00000
       209              733333.33330              450000.00000                  -7.09458                 -18.32279                1300.00000
       210              766666.66670              450000.00000                  -6.27473                 -18.77151                1300.00000
       211              800000.00000              450000.00000                  -5.42874                 -19.14296                1300.00000
       212              833333.33330              450000.00000                  -4.55980                 -19.44470                1300.00000
       213              866666.66670              450000.00000                  -3.67144                 -19.68310                1300.00000
       214              900000.00000              450000.00000                  -2.76739                 -19.86328                1300.00000
       215              933333.33330              450000.00000                  -1.85151                 -19.98920                1300.00000
       216              966666.66670              450000.00000                  -0.92774                 -20.06364                1300.00000
       217             1000000.00000              450000.00000                   0.00000                 -20.08827                1300.00000
       218                   0.00000              525000.00000                   0.00000                  33.95307                1300.00000
       219               33333.33330              525000.00000                  -1.12064                  33.78223                1300.00000
       220               66666.66670              525000.00000                  -2.22798                  33.26767                1300.00000
       221              100000.00000              525000.00000                  -3.30864                  32.40316                1300.00000
       222              133333.33330              525000.00000                  -4.34910                  31.17834                1300.00000
       223              166666.66670              525000.00000                  -5.33563                  29.57860                1300.00000
       224              200000.00000              525000.00000                  -6.25426                  27.58510                1300.00000
       225              233333.33330              525000.00000                  -7.09077                  25.17458                1300.00000
       226              266666.66670              525000.00000                  -7.83062                  22.31949                1300.00000
       227              300000.00000              525000.00000                  -8.45901                  18.98767                1300.00000
       228              333333.33330              525000.00000                  -8.96088                  15.14259                1300.00000
       229              366666.66670              525000.00000                  -9.32096                  10.74302                1300.00000
       230              400000.00000              525000.00000                  -9.52391                   5.74339                1300.00000
       231              433333.33330              525000.00000                  -9.55383                   0.09355                1300.00000
       232              466666.66670              525000.00000                  -9.39534                  -6.26163                1300.00000
